yorf,complex,gene
YOR194C,TFIIA,TOA1
YKL058W,TFIIA,TOA2
YPR086W,TFIIB,SUA7
YER148W,TFIID,SPT15
YGR274C,TFIID,TAF1
YCR042C,TFIID,TAF2
YPL011C,TFIID,TAF3
YMR005W,TFIID,TAF4
YBR198C,TFIID,TAF5
YGL112C,TFIID,TAF6
YMR227C,TFIID,TAF7
YML114C,TFIID,TAF8
YMR236W,TFIID,TAF9
YDR167W,TFIID,TAF10
YML015C,TFIID,TAF11
YDR145W,TFIID,TAF12
YML098W,TFIID,TAF13
YPL129W,TFIID,TAF14
YKL028W,TFIIE,TFA1
YKR062W,TFIIE,TFA2
YGR186W,TFIIF,TFG1
YGR005C,TFIIF,TFG2
YDR311W,TFIIH,TFB1
YPL122C,TFIIH,TFB2
YDR460W,TFIIH,TFB3
YPR056W,TFIIH,TFB4
YDR079C-A,TFIIH,TFB5
YOR352W,TFIIH,TFB6
YLR005W,TFIIH,SSL1
YIL143C,TFIIH,SSL2
YER171W,TFIIH,RAD3
YDL108W,TFIIH,KIN28
YPR025C,TFIIH,CCL1
YML010W,TFII_SPT,SPT5
YGR063C,TFII_SPT,SPT4
YOR151C,PolIIcore,RPB2
YDL140C,PolIIcore,RPO21
YIL021W,PolIIcore,RPB3
YOL005C,PolIIcore,RPB11
YJL140W,PolII,RPB4
YDR404C,PolII,RPB7
YGL070C,PolII,RPB9
YBR154C,PolIIcommon,RPB5
YPR187W,PolIIcommon,RPO26
YOR224C,PolIIcommon,RPB8
YHR143W-A,PolIIcommon,RPC10
YOR210W,PolIIcommon,RPB10